doc_id,paper_name,doc_file,github_url,huggingface_url,upvote,tags
doc2549001,From Code Foundation Models to Agents and Applications: A Practical Guide to Code Intelligence,doc2549001.json,,https://huggingface.co/papers/2511.18538,0,"[""code"", ""research"", ""llms""]"
doc2549002,"LongVT: Incentivizing ""Thinking with Long Videos"" via Native Tool Calling",doc2549002.json,https://github.com/EvolvingLMMs-Lab/LongVT,https://huggingface.co/papers/2511.20785,0,"[""https"", ""longvt"", ""video""]"
doc2549003,Z-Image: An Efficient Image Generation Foundation Model with Single-Stream Diffusion Transformer,doc2549003.json,https://github.com/Tongyi-MAI/Z-Image,https://huggingface.co/papers/2511.22699,0,"[""image"", ""model"", ""https""]"
doc2549004,Envision: Benchmarking Unified Understanding & Generation for Causal World Process Insights,doc2549004.json,https://github.com/opendatalab-raiser/Envision,https://huggingface.co/papers/2512.01816,0,"[""models"", ""world"", ""image""]"
doc2549005,Stabilizing Reinforcement Learning with LLMs: Formulation and Practices,doc2549005.json,,https://huggingface.co/papers/2512.01374,0,"[""training"", ""level"", ""paper""]"
doc2549006,DeepSeekMath-V2: Towards Self-Verifiable Mathematical Reasoning,doc2549006.json,,https://huggingface.co/papers/2511.22570,0,"[""reasoning"", ""self"", ""step""]"
doc2549007,REASONEDIT: Towards Reasoning-Enhanced Image Editing Models,doc2549007.json,https://github.com/stepfun-ai/Step1X-Edit?tab=readme-ov-file#step1x-edit-v1p2-v12,https://huggingface.co/papers/2511.22625,0,"[""editing"", ""image"", ""edit""]"
doc2549008,How Far Are We from Genuinely Useful Deep Research Agents?,doc2549008.json,https://github.com/OPPO-PersonalAI/FINDER_DEFT,https://huggingface.co/papers/2512.01948,0,"[""research"", ""dras"", ""reports""]"
doc2549009,What about gravity in video generation? Post-Training Newton's Laws with Verifiable Rewards,doc2549009.json,https://github.com/cvlab-stonybrook/NewtonRewards,https://huggingface.co/papers/2512.00425,0,"[""physics"", ""physical"", ""training""]"
doc2549010,Vision Bridge Transformer at Scale,doc2549010.json,https://github.com/Yuanshi9815/ViBT,https://huggingface.co/papers/2511.23199,0,"[""bridge"", ""models"", ""data""]"
