doc_id,context,metadata
doc2548001,"The optimization of large language models ( LLMs ) remains a critical challenge, particularly as model scaling exacerbates sensitivity to algorithmic imprecision and training instability. Recent advances in optimizers have improved convergence efficiency through momentum orthogonalization , but suffer from two key robustness limitations: dimensional fragility in orthogonalization precision and vulnerability to outlier-induced noise . To address these robustness challenges, we introduce ROOT, a Robust Orthogonalized Optimizer that enhances training stability through dual robustness mechanisms. First, we develop a dimension-robust orthogonalization scheme using adaptive Newton iterations with fine-grained coefficients tailored to specific matrix sizes, ensuring consistent precision across diverse architectural configurations. Second, we introduce an optimization-robust framework via proximal optimization that suppresses outlier noise while preserving meaningful gradient directions. Extensive experiments demonstrate that ROOT achieves significantly improved robustness, with faster convergence and superior final performance compared to both Muon and Adam-based optimizers , particularly in noisy and non-convex scenarios. Our work establishes a new paradigm for developing robust and precise optimizers capable of handling the complexities of modern large-scale model training. The code will be available at https://github.com/huawei-noah/noah-research/tree/master/ROOT.","{'paper_name': 'ROOT: Robust Orthogonalized Optimizer for Neural Network Training', 'github_url': 'https://github.com/huawei-noah/noah-research/tree/master/ROOT', 'huggingface_url': 'https://huggingface.co/papers/2511.20626', 'upvote': 166, 'tags': ['robust', 'robustness', 'root']}"
doc2548002,"Memory is critical for AI agents, yet the widely-adopted static memory, aiming to create readily available memory in advance, is inevitably subject to severe information loss. To address this limitation, we propose a novel framework called general agentic memory ( GAM ). GAM follows the principle of ""just-in time (JIT) compilation"" where it focuses on creating optimized contexts for its client at runtime while keeping only simple but useful memory during the offline stage. To this end, GAM employs a duo-design with the following components. 1) Memorizer , which highlights key historical information using a lightweight memory, while maintaining complete historical information within a universal page-store . 2) Researcher , which retrieves and integrates useful information from the page-store for its online request guided by the pre-constructed memory. This design allows GAM to effectively leverage the agentic capabilities and test-time scalability of frontier large language models ( LLMs ), while also facilitating end-to-end performance optimization through reinforcement learning . In our experimental study, we demonstrate that GAM achieves substantial improvement on various memory-grounded task completion scenarios against existing memory systems.","{'paper_name': 'General Agentic Memory Via Deep Research', 'github_url': 'https://github.com/VectorSpaceLab/general-agentic-memory', 'huggingface_url': 'https://huggingface.co/papers/2511.18423', 'upvote': 150, 'tags': ['memory', 'gam', 'information']}"
doc2548003,"Recent advances in LLM-guided evolutionary computation , particularly AlphaEvolve (Novikov et al., 2025; Georgiev et al., 2025), have demonstrated remarkable success in discovering novel mathematical constructions and solving challenging optimization problems. However, the high-level descriptions in published work leave many implementation details unspecified, hindering reproducibility and further research. In this report we present GigaEvo, an extensible open-source framework that enables researchers to study and experiment with hybrid LLM-evolution approaches inspired by AlphaEvolve . Our system provides modular implementations of key components: MAP-Elites quality-diversity algorithms , asynchronous DAG-based evaluation pipelines, LLM-driven mutation operators with insight generation and bidirectional lineage tracking , and flexible multi-island evolutionary strategies . In order to assess reproducibility and validate our implementation we evaluate GigaEvo on challenging problems from the AlphaEvolve paper: Heilbronn triangle placement , circle packing in squares, and high-dimensional kissing numbers . The framework emphasizes modularity, concurrency, and ease of experimentation, enabling rapid prototyping through declarative configuration. We provide detailed descriptions of system architecture, implementation decisions, and experimental methodology to support further research in LLM driven evolutionary methods. The GigaEvo framework and all experimental code are available at https://github.com/AIRI-Institute/gigaevo-core.","{'paper_name': 'GigaEvo: An Open Source Optimization Framework Powered By LLMs And Evolution Algorithms', 'github_url': 'https://github.com/FusionBrainLab/gigaevo-core', 'huggingface_url': 'https://huggingface.co/papers/2511.17592', 'upvote': 117, 'tags': ['llm', 'gigaevo', 'framework']}"
doc2548004,"Multi-agent systems (MAS) extend large language models (LLMs) from independent single-model reasoning to coordinative system-level intelligence. While existing LLM agents depend on text-based mediation for reasoning and communication, we take a step forward by enabling models to collaborate directly within the continuous latent space . We introduce LatentMAS , an end-to-end training-free framework that enables pure latent collaboration among LLM agents. In LatentMAS , each agent first performs auto-regressive latent thoughts generation through last-layer hidden embeddings . A shared latent working memory then preserves and transfers each agent's internal representations, ensuring lossless information exchange. We provide theoretical analyses establishing that LatentMAS attains higher expressiveness and lossless information preservation with substantially lower complexity than vanilla text-based MAS. In addition, empirical evaluations across 9 comprehensive benchmarks spanning math and science reasoning , commonsense understanding , and code generation show that LatentMAS consistently outperforms strong single-model and text-based MAS baselines, achieving up to 14.6% higher accuracy , reducing output token usage by 70.8%-83.7%, and providing 4x-4.3x faster end-to-end inference . These results demonstrate that our new latent collaboration framework enhances system-level reasoning quality while offering substantial efficiency gains without any additional training. Code and data are fully open-sourced at https://github.com/Gen-Verse/ LatentMAS .","{'paper_name': 'Latent Collaboration in Multi-Agent Systems', 'github_url': 'https://github.com/Gen-Verse/LatentMAS', 'huggingface_url': 'https://huggingface.co/papers/2511.20639', 'upvote': 103, 'tags': ['latent', 'latentmas', 'reasoning']}"
doc2548005,"We present Segment Anything Model (SAM) 3, a unified model that detects, segments, and tracks objects in images and videos based on concept prompts , which we define as either short noun phrases (e.g., ""yellow school bus""), image exemplars, or a combination of both. Promptable Concept Segmentation (PCS) takes such prompts and returns segmentation masks and unique identities for all matching object instances. To advance PCS, we build a scalable data engine that produces a high-quality dataset with 4M unique concept labels, including hard negatives, across images and videos. Our model consists of an image-level detector and a memory-based video tracker that share a single backbone. Recognition and localization are decoupled with a presence head , which boosts detection accuracy. SAM 3 doubles the accuracy of existing systems in both image and video PCS, and improves previous SAM capabilities on visual segmentation tasks . We open source SAM 3 along with our new Segment Anything with Concepts (SA-Co) benchmark for promptable concept segmentation .","{'paper_name': 'SAM 3: Segment Anything with Concepts', 'github_url': 'https://github.com/facebookresearch/sam3', 'huggingface_url': 'https://huggingface.co/papers/2511.16719', 'upvote': 99, 'tags': ['segmentation', 'sam', 'concept']}"
doc2548006,"Current research on agentic visual reasoning enables deep multimodal understanding but primarily focuses on image manipulation tools, leaving a gap toward more general-purpose agentic models. In this work, we revisit the geolocalization task, which requires not only nuanced visual grounding but also web search to confirm or refine hypotheses during reasoning. Since existing geolocalization benchmarks fail to meet the need for high-resolution imagery and the localization challenge for deep agentic reasoning, we curate GeoBench , a benchmark that includes photos and panoramas from around the world, along with a subset of satellite images of different cities to rigorously evaluate the geolocalization ability of agentic models. We also propose GeoVista , an agentic model that seamlessly integrates tool invocation within the reasoning loop, including an image-zoom-in tool to magnify regions of interest and a web-search tool to retrieve related web information. We develop a complete training pipeline for it, including a cold-start supervised fine-tuning (SFT) stage to learn reasoning patterns and tool-use priors, followed by a reinforcement learning (RL) stage to further enhance reasoning ability. We adopt a hierarchical reward to leverage multi-level geographical information and improve overall geolocalization performance. Experimental results show that GeoVista surpasses other open-source agentic models on the geolocalization task greatly and achieves performance comparable to closed-source models such as Gemini-2.5-flash and GPT-5 on most metrics.","{'paper_name': 'GeoVista: Web-Augmented Agentic Visual Reasoning for Geolocalization', 'github_url': 'https://github.com/ekonwang/GeoVista', 'huggingface_url': 'https://huggingface.co/papers/2511.15705', 'upvote': 90, 'tags': ['reasoning', 'agentic', 'geolocalization']}"
doc2548007,"Recent advancements in large reasoning models have fueled growing interest in extending such capabilities to multimodal domains. However, despite notable progress in visual reasoning, the lack of transparent and reproducible data curation and training strategies remains a major barrier to scalable research. In this work, we introduce OpenMMReasoner, a fully transparent two-stage recipe for multimodal reasoning spanning supervised fine-tuning (SFT) and reinforcement learning (RL). In the SFT stage, we construct an 874K-sample cold-start dataset with rigorous step-by-step validation , providing a strong foundation for reasoning capabilities. The subsequent RL stage leverages a 74K-sample dataset across diverse domains to further sharpen and stabilize these abilities, resulting in a more robust and efficient learning process. Extensive evaluations demonstrate that our training recipe not only surpasses strong baselines but also highlights the critical role of data quality and training design in shaping multimodal reasoning performance. Notably, our method achieves a 11.6% improvement over the Qwen2.5-VL-7B-Instruct baseline across nine multimodal reasoning benchmarks , establishing a solid empirical foundation for future large-scale multimodal reasoning research. We open-sourced all our codes, pipeline, and data at https://github.com/EvolvingLMMs-Lab/OpenMMReasoner.","{'paper_name': 'OpenMMReasoner: Pushing the Frontiers for Multimodal Reasoning with an Open and General Recipe', 'github_url': 'https://github.com/EvolvingLMMs-Lab/OpenMMReasoner', 'huggingface_url': 'https://huggingface.co/papers/2511.16334', 'upvote': 89, 'tags': ['reasoning', 'multimodal', 'multimodal reasoning']}"
doc2548008,"Humans naturally adapt to diverse environments by learning underlying rules across worlds with different dynamics, observations, and reward structures. In contrast, existing agents typically demonstrate improvements via self-evolving within a single domain, implicitly assuming a fixed environment distribution. Cross-environment learning has remained largely unmeasured: there is no standard collection of controllable, heterogeneous environments , nor a unified way to represent how agents learn. We address these gaps in two steps. First, we propose AutoEnv , an automated framework that treats environments as factorizable distributions over transitions, observations, and rewards, enabling low-cost (4.12 USD on average) generation of heterogeneous worlds. Using AutoEnv , we construct AutoEnv-36 , a dataset of 36 environments with 358 validated levels, on which seven language models achieve 12-49% normalized reward , demonstrating the challenge of AutoEnv-36 . Second, we formalize agent learning as a component-centric process driven by three stages of Selection , Optimization , and Evaluation applied to an improvable agent component. Using this formulation, we design eight learning methods and evaluate them on AutoEnv-36 . Empirically, the gain of any single learning method quickly decrease as the number of environments increases, revealing that fixed learning methods do not scale across heterogeneous environments . Environment-adaptive selection of learning methods substantially improves performance but exhibits diminishing returns as the method space expands. These results highlight both the necessity and the current limitations of agent learning for scalable cross-environment generalization, and position AutoEnv and AutoEnv-36 as a testbed for studying cross-environment agent learning. The code is avaiable at https://github.com/FoundationAgents/ AutoEnv .","{'paper_name': 'AutoEnv: Automated Environments for Measuring Cross-Environment Agent Learning', 'github_url': '', 'huggingface_url': 'https://huggingface.co/papers/2511.19304', 'upvote': 88, 'tags': ['learning', 'autoenv', 'environments']}"
doc2548009,"Intrinsic dimension (ID) is an important tool in modern LLM analysis, informing studies of training dynamics, scaling behavior, and dataset structure, yet its textual determinants remain underexplored. We provide the first comprehensive study grounding ID in interpretable text properties through cross-encoder analysis , linguistic features, and sparse autoencoders (SAEs). In this work, we establish three key findings. First, ID is complementary to entropy-based metrics : after controlling for length, the two are uncorrelated, with ID capturing geometric complexity orthogonal to prediction quality. Second, ID exhibits robust genre stratification : scientific prose shows low ID (~8), encyclopedic content medium ID (~9), and creative/opinion writing high ID (~10.5) across all models tested. This reveals that contemporary LLMs find scientific text ""representationally simple"" while fiction requires additional degrees of freedom. Third, using SAEs, we identify causal features : scientific signals ( formal tone , report templates , statistics ) reduce ID; humanized signals ( personalization , emotion , narrative ) increase it. Steering experiments confirm these effects are causal. Thus, for contemporary models, scientific writing appears comparatively ""easy"", whereas fiction, opinion, and affect add representational degrees of freedom. Our multi-faceted analysis provides practical guidance for the proper use of ID and the sound interpretation of ID-based results.","{'paper_name': 'Unveiling Intrinsic Dimension of Texts: from Academic Abstract to Creative Story', 'github_url': '', 'huggingface_url': 'https://huggingface.co/papers/2511.15210', 'upvote': 85, 'tags': ['id', 'scientific', 'analysis']}"
doc2548010,"Multimodal large language models (MLLMs) are currently at the center of research attention, showing rapid progress in scale and capabilities, yet their intelligence, limitations, and risks remain insufficiently understood. To address these issues, particularly in the context of the Russian language , where no multimodal benchmarks currently exist, we introduce Mera Multi , an open multimodal evaluation framework for Russian-spoken architectures. The benchmark is instruction-based and encompasses default text, image, audio, and video modalities, comprising 18 newly constructed evaluation tasks for both general-purpose models and modality-specific architectures (image-to-text, video-to-text, and audio-to-text). Our contributions include: (i) a universal taxonomy of multimodal abilities ; (ii) 18 datasets created entirely from scratch with attention to Russian cultural and linguistic specificity, unified prompts, and metrics; (iii) baseline results for both closed-source and open-source models; (iv) a methodology for preventing benchmark leakage , including watermarking and licenses for private sets. While our current focus is on Russian, the proposed benchmark provides a replicable methodology for constructing multimodal benchmarks in typologically diverse languages, particularly within the Slavic language family.","{'paper_name': 'Multimodal Evaluation of Russian-language Architectures', 'github_url': 'https://github.com/MERA-Evaluation/MERA_MULTIMODAL/tree/main', 'huggingface_url': 'https://huggingface.co/papers/2511.15552', 'upvote': 76, 'tags': ['multimodal', 'text', 'russian']}"
doc2548011,"Pixel diffusion aims to generate images directly in pixel space in an end-to-end fashion. This approach avoids the limitations of VAE in the two-stage latent diffusion , offering higher model capacity. Existing pixel diffusion models suffer from slow training and inference, as they usually model both high-frequency signals and low-frequency semantics within a single diffusion transformer (DiT) . To pursue a more efficient pixel diffusion paradigm, we propose the frequency-DeCoupled pixel diffusion framework. With the intuition to decouple the generation of high and low frequency components, we leverage a lightweight pixel decoder to generate high-frequency details conditioned on semantic guidance from the DiT. This thus frees the DiT to specialize in modeling low-frequency semantics. In addition, we introduce a frequency-aware flow-matching loss that emphasizes visually salient frequencies while suppressing insignificant ones. Extensive experiments show that DeCo achieves superior performance among pixel diffusion models, attaining FID of 1.62 (256x256) and 2.22 (512x512) on ImageNet , closing the gap with latent diffusion methods. Furthermore, our pretrained text-to-image model achieves a leading overall score of 0.86 on GenEval in system-level comparison. Codes are publicly available at https://github.com/Zehong-Ma/DeCo.","{'paper_name': 'DeCo: Frequency-Decoupled Pixel Diffusion for End-to-End Image Generation', 'github_url': 'https://github.com/Zehong-Ma/DeCo', 'huggingface_url': 'https://huggingface.co/papers/2511.19365', 'upvote': 62, 'tags': ['diffusion', 'pixel', 'frequency']}"
doc2548012,"Deep research models perform multi-step research to produce long-form, well-attributed answers. However, most open deep research models are trained on easily verifiable short-form QA tasks via reinforcement learning with verifiable rewards (RLVR) , which does not extend to realistic long-form tasks. We address this with Reinforcement Learning with Evolving Rubrics (RLER) , in which we construct and maintain rubrics that co-evolve with the policy model during training; this allows the rubrics to incorporate information that the model has newly explored and to provide discriminative, on-policy feedback. Using RLER, we develop Deep Research Tulu (DR Tulu-8B) , the first open model that is directly trained for open-ended, long-form deep research . Across four long-form deep research benchmarks in science, healthcare and general domains, DR Tulu substantially outperforms existing open deep research models , and matches or exceeds proprietary deep research systems, while being significantly smaller and cheaper per query. To facilitate future research, we release all data, models, and code, including our new MCP-based agent infrastructure for deep research systems.","{'paper_name': 'DR Tulu: Reinforcement Learning with Evolving Rubrics for Deep Research', 'github_url': 'https://github.com/rlresearch/dr-tulu', 'huggingface_url': 'https://huggingface.co/papers/2511.19399', 'upvote': 53, 'tags': ['research', 'deep research', 'deep']}"
doc2548013,"Computer-Use Agents ( CUA ) are becoming increasingly capable of autonomously operating digital environments through Graphical User Interfaces ( GUI ). Yet, most GUI remain designed primarily for humans--prioritizing aesthetics and usability--forcing agents to adopt human-oriented behaviors that are unnecessary for efficient task execution. At the same time, rapid advances in coding-oriented language models ( Coder ) have transformed automatic GUI design. This raises a fundamental question: Can CUA as judges to assist Coder for automatic GUI design? To investigate, we introduce AUI-Gym , a benchmark for Automatic GUI development spanning 52 applications across diverse domains. Using language models , we synthesize 1560 tasks that simulate real-world scenarios. To ensure task reliability , we further develop a verifier that programmatically checks whether each task is executable within its environment. Building on this, we propose a Coder - CUA in Collaboration framework: the Coder acts as Designer, generating and revising websites, while the CUA serves as Judge, evaluating functionality and refining designs. Success is measured not by visual appearance, but by task solvability and CUA navigation success rate . To turn CUA feedback into usable gui dance, we design a CUA Dashboard that compresses multi-step navigation histories into concise visual summaries, offering interpretable gui dance for iterative redesign. By positioning agents as both designers and judges, our framework shifts interface design toward agent-native efficiency and reliability. Our work takes a step toward shifting agents from passive use toward active participation in digital environments. Our code and dataset are available at https://github.com/showlab/AUI.","{'paper_name': 'Computer-Use Agents as Judges for Generative User Interface', 'github_url': 'https://github.com/showlab/AUI', 'huggingface_url': 'https://huggingface.co/papers/2511.15567', 'upvote': 50, 'tags': ['cua', 'gui', 'task']}"
doc2548014,"Medical image segmentation is fundamental for biomedical discovery. Existing methods lack generalizability and demand extensive, time-consuming manual annotation for new clinical application. Here, we propose MedSAM-3, a text promptable medical segmentation model for medical image and video segmentation. By fine-tuning the Segment Anything Model (SAM) 3 archite ct ure on medical images paired with semantic conceptual labels, our MedSAM-3 enables medical Promptable Concept Segmentation (PCS) , allowing precise targeting of anatomical stru ct ures via open-vocabulary text descriptions rather than solely geometric prompts. We further introduce the MedSAM-3 Agent, a framework that integrates Multimodal Large Language Models (MLLMs) to perform complex reasoning and iterative refinement in an agent-in-the-loop workflow. Comprehensive experiments across diverse medical imaging modalities, including X-ray , MRI , Ultrasound , CT , and video , demonstrate that our approach significantly outperforms existing specialist and foundation models. We will release our code and model at https://github.com/Joey-S-Liu/MedSAM3.","{'paper_name': 'MedSAM3: Delving into Segment Anything with Medical Concepts', 'github_url': 'https://github.com/Joey-S-Liu/MedSAM3', 'huggingface_url': 'https://huggingface.co/papers/2511.19046', 'upvote': 47, 'tags': ['medical', 'segmentation', 'model']}"
doc2548015,"Vision-language agents have achieved remarkable progress in a variety of multimodal reasoning tasks; however, their learning remains constrained by the limitations of human-annotated supervision. Recent self-rewarding approaches attempt to overcome this constraint by allowing models to act as their own critics or reward providers. Yet, purely text-based self-evaluation struggles to verify complex visual reasoning steps and often suffers from evaluation hallucinations. To address these challenges, inspired by recent advances in tool-integrated reasoning , we propose Agent0-VL, a self-evolving vision-language agent that achieves continual improvement with tool-integrated reasoning . Agent0-VL incorporates tool usage not only into reasoning but also into self-evaluation and self-repair , enabling the model to introspect , verify, and refine its reasoning through evidence-grounded analysis . It unifies two synergistic roles within a single LVLM: a Solver that performs multi-turn tool-integrated reasoning , and a Verifier that generates structured feedback and fine-grained self-rewards through tool-grounded critique. These roles interact through a Self-Evolving Reasoning Cycle , where tool-based verification and reinforcement learning jointly align the reasoning and evaluation distributions for stable self-improvement. Through this zero-external-reward evolution, Agent0-VL aligns its reasoning and verification behaviors without any human annotation or external reward models, achieving continual self-improvement. Experiments on geometric problem solving and visual scientific analysis show that Agent0-VL achieves an 12.5% improvement over the base model. Our code is available at https://github.com/aiming-lab/Agent0/Agent0-VL{this https URL}.","{'paper_name': 'Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning', 'github_url': 'https://github.com/aiming-lab/Agent0/tree/main/Agent0-VL', 'huggingface_url': 'https://huggingface.co/papers/2511.19900', 'upvote': 46, 'tags': ['reasoning', 'self', 'tool']}"
